poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
146,384,3,6,1,3,0,9280,24116,3331,4415,6715
138,388,4,9,2,6,6,16910,22702,5085,8947,3308
38,388,3,5,2,3,3,2219,17042,1765,3297,3018
144,388,3,2,2,3,2,1843,2745,1214,1213,9632
32,388,7,9,6,7,7,1829,5378,1709,2000,11387
46,390,0,0,0,0,2,9277,17193,3164,11016,12750
146,391,3,9,1,4,6,8140,33894,5610,4945,599
43,391,9,8,7,9,8,736,949,754,1241,5458
120,391,7,7,8,8,7,175,785,558,63,75
58,390,3,0,1,2,1,18658,2413,2600,3626,3996
97,391,7,7,7,7,7,41,167,119,87,76
97,391,7,7,7,7,7,41,167,119,87,76
97,391,7,7,7,7,7,41,167,119,87,76
96,390,3,3,3,3,3,1597,1265,8946,1104,1379
81,390,3,2,3,3,3,1462,666,9022,805,1098
55,393,4,3,6,4,3,26567,6668,7045,3707,5663
15,393,3,2,5,2,4,8006,3892,2275,2006,2595
96,393,3,2,5,3,5,2802,5597,2570,1915,1937
14,393,4,7,6,5,6,2997,2153,1443,11707,1896
26,394,0,0,0,0,2,4826,1381,2515,1865,26967
148,394,4,0,1,1,1,12430,3049,4050,2265,4682
51,394,5,5,5,5,4,939,1376,3843,762,11754
32,394,3,2,2,1,2,3066,982,7244,1398,846
71,396,1,3,1,1,6,3046,6329,5046,8948,3871
84,396,2,3,3,3,3,10592,3363,3333,4965,4014
52,396,4,2,0,0,2,3666,2482,1597,6316,2865
129,396,1,3,2,3,2,1846,3850,4046,2113,8547
46,397,3,3,7,3,3,680,4133,6223,22600,1585
34,399,1,1,1,7,0,12515,3976,3988,3544,3488
98,399,2,4,5,4,2,6862,2288,1936,2116,1933
142,399,6,5,5,5,4,1450,1162,1509,7088,2744
140,399,6,4,7,6,4,1316,1350,2122,6988,1525
29,401,0,0,0,0,9,4515,6146,2780,26521,8138
62,401,8,8,7,8,9,1449,6480,1619,7072,1397
96,400,3,3,0,3,2,9015,265132,1804,10784,3918
101,400,1,0,1,0,1,2237,3087,20792,1518,1433
134,402,0,0,0,2,1,25355,4297,2781,4982,4140
11,402,0,3,4,5,2,2348,2283,7126,2175,2097
136,400,1,0,1,0,1,34939,1007,1271,1096,1621
